article_id,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact
W2921295334,2,4,6
W2802677236,5,5,10
W3026389025,1,3,4
W2804704791,1,4,5
W2901208279,2,6,8
W3000910201,3,5,8
W2793639001,3,7,10
W3182771507,1,6,7
W4210469547,3,7,10
W2909660731,3,1,4
W3190596346,3,5,8
W4205896664,3,8,11
W2800162358,1,1,2
W2911705781,0,2,2
W4382536746,2,11,13
W4401429790,8,8,16
W2801896212,3,4,7
W4319459548,5,4,9
W3166420679,134,310,444
W2969592549,28,70,98
W2807448259,7,46,53
W2974097001,17,46,63
W3028476056,10,31,41
W3104274306,12,36,48
W2898882281,3,8,11
W4293577608,1,18,19
W4403649905,28,18,46
W4403231445,5,10,15
W4391423483,6,6,12
W2795092029,5,5,10
W2972577164,4,10,14
W3168985624,5,8,13
W4249841823,4,1,5
W3094107855,2,7,9
W3134843510,6,4,10
W4393232397,4,1,5
W4243736153,0,0,0
W3138571393,1,0,1
W2989690973,1,1,2
W4387294662,1,1,2
W1566569107,1,0,1
W2792620322,0,1,1
W4394506950,0,0,0
W3129092892,10,9,19
W3092357636,7,40,47
W4387782520,31,91,122
W2883365843,6,19,25
W3025185077,9,32,41
W3005085880,4,16,20
W2809515086,10,10,20
W2945245214,5,16,21
W3015507228,9,18,27
W2991397787,6,19,25
W2903967258,1,8,9
W3001460233,8,19,27
W3002296830,5,20,25
W3193538315,6,12,18
W3135018621,7,17,24
W3127334485,9,23,32
W2895888243,2,7,9
W3093054700,11,17,28
W4394782964,20,49,69
W2991107927,1,4,5
W3167308845,7,13,20
W2943628665,5,6,11
W4308454272,8,11,19
W3014308432,6,5,11
W3198294246,3,8,11
W2964654484,3,2,5
W4389695050,9,21,30
W4226210169,5,12,17
W4282958838,7,8,15
W4384071941,4,10,14
W4379057308,1,6,7
W4409357555,10,0,10
W4410325138,10,0,10
W3006315066,4,5,9
W3207567100,13,4,17
W3016704084,4,6,10
W4282584385,8,6,14
W4288452502,4,9,13
W2804798431,5,7,12
W3201458092,6,0,6
W3174253403,2,2,4
W4321458544,3,5,8
W4386541586,3,3,6
W4288535917,1,2,3
W3199618134,1,2,3
W4402657645,4,4,8
W4406630120,5,1,6
W4381889690,4,1,5
W4405063181,1,2,3
W4412071411,2,0,2
W4415686984,1,0,1
W3047789488,0,5,5
W3089238787,1,4,5
W3196997589,2,5,7
W4296480766,3,3,6
W2893927890,0,0,0
W4281747699,1,1,2
W4411250269,2,0,2
W2793832183,1,2,3
W4297227001,1,3,4
W3081803740,1,1,2
W4200511627,1,2,3
W4288757705,0,0,0
W4386351440,0,1,1
W2892290803,1,0,1
W4404619714,1,0,1
W4315784988,0,2,2
W4393502051,0,0,0
W4210528581,0,0,0
W4402143231,0,1,1
W2975238267,0,0,0
W3020681693,0,0,0
W3111588491,0,0,0
W3131472991,0,0,0
W3169885039,0,0,0
W3179717788,0,0,0
W3186717101,0,0,0
W3213936683,0,0,0
W4200488425,0,0,0
W4205651939,0,0,0
W4206468116,0,0,0
W4206560584,0,0,0
W4212998729,0,0,0
W4213188014,0,0,0
W4213252732,0,0,0
W4242998680,0,0,0
W4297360025,0,0,0
W4310610544,0,0,0
W4310616569,0,0,0
W4311225606,0,0,0
W4311254167,0,0,0
W4393625710,0,0,0
W4394024683,0,0,0
W4394042000,0,0,0
W4400185684,0,0,0
W4406696857,0,0,0
W4408423159,0,0,0
W4408423322,0,0,0
W4408438608,0,0,0
W4408439567,0,0,0
W4408441308,0,0,0
W4408441506,0,0,0
W4408485582,0,0,0
W4412456515,0,0,0
W4413011332,0,0,0
W4416265461,0,0,0
W4416690571,0,0,0
W7139013403,0,0,0
W2903238415,12,53,65
W4210576962,64,126,190
W4388591250,75,287,362
W3031712651,16,47,63
W4376133321,57,139,196
W2899508628,5,15,20
W4294636548,18,41,59
W2794271440,6,13,19
W2801916382,5,7,12
W3111309371,4,13,17
W4300427316,5,19,24
W2987965517,1,7,8
W4226328692,4,10,14
W4311242120,4,5,9
W2968492417,0,4,4
W4391445535,2,10,12
W3004056508,1,5,6
W3118482668,2,5,7
W3084426055,6,17,23
W2883335943,5,14,19
W3117376253,10,22,32
W3032980049,15,24,39
W3135345318,22,37,59
W2911292468,15,18,33
W3112186348,7,28,35
W4289519698,15,32,47
W2901037436,5,9,14
W3089681736,3,23,26
W3091883731,5,16,21
W2793653960,2,5,7
W3108359246,5,14,19
W2804098144,1,2,3
W3037450351,4,12,16
W2981747770,6,16,22
W2792701215,1,6,7
